Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,True Negatives,False Positives,False Negatives,True Positives
Neural Network,0.98515,0.981938216243149,0.9810827629122588,0.9815103031812239,0.9883122808669029,11820,145,152,7883
XGBoost,0.9556,0.9342568963422044,0.9568139390168015,0.9454008853910476,0.984182474761094,11424,541,347,7688
Voting Ensemble,0.95435,0.9361832435080842,0.9512134411947729,0.9436384962034693,0.9838219282490339,11444,521,392,7643
LightGBM,0.9536,0.9314070656792521,0.9548226509023024,0.942969518190757,0.9838115682252037,11400,565,363,7672
Stacking Ensemble,0.9526,0.9439919809547676,0.9376477909147479,0.9408091908091907,0.9833215682226033,11518,447,501,7534
Random Forest,0.94495,0.9326179186423759,0.9301804604853765,0.9313975948657237,0.9801602111114895,11425,540,561,7474
